,room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude,boroughs
9970,6732624,16390988,Entire home/apt,Oud Oost,7,5.0,2,1.0,126.0,Bright colourful apartment near centre & park,52.35832,4.913332,Oost
9971,14785551,6271051,Entire home/apt,Oud Oost,12,5.0,2,2.0,134.0,Spacious city centre apartment with sunny balcony,52.352966,4.915909,Oost
9972,1896081,9850918,Entire home/apt,Oud Oost,10,5.0,2,1.0,144.0,Charming and sunny appt for 2!,52.352252,4.915743,Oost
9973,13471485,474424,Entire home/apt,De Pijp / Rivierenbuurt,1,0.0,4,2.0,132.0,Spacious and light apt where you can feel at home!,52.354501,4.905495,Zuid
9974,3381060,5956784,Entire home/apt,Oud Oost,5,5.0,2,1.0,125.0,Bright apartment + terrace + bikes,52.361733,4.922357,Oost
9975,7007415,3441513,Entire home/apt,Oud Oost,15,5.0,2,0.0,132.0,Cosy light apartment @ Amstel River,52.351767,4.911529,Oost
9976,4320334,22430852,Entire home/apt,Oud Oost,6,5.0,2,1.0,144.0,Apartment in the up and coming East,52.3547,4.91637,Oost
9977,13759557,80663632,Entire home/apt,De Pijp / Rivierenbuurt,0,0.0,2,1.0,144.0,Romantic Appartement for rent in the pijp!,52.351533,4.908772,Zuid
9978,19908895,7827830,Entire home/apt,Oud Oost,0,0.0,2,1.0,144.0,"50m2 apartment in Amsterdam, perfect location",52.360201,4.913325,Oost
9979,19209017,3170594,Entire home/apt,Oud Oost,0,0.0,2,2.0,132.0,"Bright, cosy and family friendly apartment",52.360705,4.926256,Oost
9980,461383,2293052,Entire home/apt,Oud Oost,11,4.5,2,1.0,130.0,A charming apartment in a hip area,52.360763,4.924674,Oost
9981,19414235,1348274,Entire home/apt,Oud Oost,0,0.0,2,1.0,144.0,1 Bedroom Completely Renovated + Backyard,52.358657,4.927076,Oost
9982,9763444,46827833,Entire home/apt,Oud Oost,0,0.0,3,2.0,132.0,Comfortable bright apartment,52.357605,4.919446,Oost
9983,6251700,32400813,Entire home/apt,Oud Oost,6,3.5,2,0.0,144.0,Cosy studio Amsterdam near the Oosterpark,52.357316,4.914749,Oost
9984,1182656,6469558,Entire home/apt,Oud Oost,89,5.0,2,1.0,130.0,Quiet room in centre-east w/balcony,52.35947,4.912186,Oost
9985,870342,1314991,Entire home/apt,Oud Oost,2,0.0,2,1.0,132.0,*Nice and comfortable apartment*,52.355609,4.920034,Oost
9986,12152676,4046171,Entire home/apt,Oud Oost,13,5.0,2,1.0,144.0,Lovely apartment in A'dam East,52.35666,4.916414,Oost
9987,2683956,6813744,Entire home/apt,Oud Oost,8,3.5,2,1.0,144.0,"Quiet, light & comfy apartment at the Amstel river",52.357831,4.907587,Oost
9988,1874209,9764752,Entire home/apt,De Pijp / Rivierenbuurt,18,5.0,2,1.0,144.0,Stylish stay close to the Amstel,52.358255,4.905004,Zuid
9989,7870568,4156586,Entire home/apt,Oud Oost,29,4.5,2,1.0,143.0,Authentic elite-class 1895  app totally renovated,52.354924,4.909149,Oost
9990,12441473,61978359,Entire home/apt,Oud Oost,0,0.0,6,2.0,133.0,Cozy Amsterdammer apartment...,52.356597,4.924572,Oost
